381441	4356236
381466	4356419
381353	4356169
381428	4356224
381233	4356308
381845	4356471
381543	4356228
381366	4356380
381216	4355841
381739	4356074
381016	4355761
381438	4356142
382044	4355794
381892	4355783
381532	4355571
381845	4356112
381271	4356096
381240	4356377
381439	4356324
381444	4355979
381401	4356276
381607	4355922
381551	4355775
381200	4355807
381361	4355882
381484	4355723
381396	4355611
381446	4355764
381781	4355964
381741	4355975
381433	4356362
380494	4355780
380651	4356254
379899	4355767
379896	4355790
380764	4356030
378726	4352610
380074	4355677
380175	4355812
380069	4354586
380712	4355429
380657	4355662
380703	4355698
379947	4355828
380709	4355434
380562	4355665
380580	4355669
380836	4355382
380770	4355357
380072	4355680
379861	4355461
379184	4353512
380620	4355371
380670	4355653
380729	4355566
380517	4355562
380777	4355448
380219	4355628
379769	4355827
378321	4352000
380196	4355635
380168	4355936
380377	4356283
379943	4355396
380918	4355463
380734	4355949
381031	4355565
380909	4355444
379899	4355766
379615	4355742
380800	4355530
380439	4355525
380671	4355647
380731	4355736
377446	4351226
380832	4355394
380011	4355888
379612	4355735
380265	4355328
380550	4355225
380663	4355685
380690	4355707
377498	4351253
380962	4355761
379796	4355411
379758	4355473
380474	4355271
380660	4355333
380514	4355686
380521	4355715
377401	4351452
380812	4355447
380815	4355594
380918	4355727
380456	4355114
380261	4355204
379914	4355348
379869	4355323
376928	4350927
380384	4355456
379962	4355938
380216	4356107
380295	4356100
380483	4355101
380222	4355646
380882	4356025
377929	4351350
379972	4355803
380530	4355701
379851	4355444
380776	4355530
380725	4355351
380765	4356078
379840	4355720
377930	4351210
380429	4356085
380807	4356029
379893	4355759
380081	4355421
380543	4355752
380537	4355743
379557	4355652
380527	4355089
380518	4355561
380273	4355544
380129	4355735
380127	4355728
379879	4355430
379844	4355439
380124	4355714
378200	4352725
380435	4355685
380890	4355811
380752	4355474
380394	4355194
380187	4355981
380285	4354739
380684	4355656
380540	4355742
380586	4355716
379914	4355385
377256	4350975
380570	4355755
380678	4355687
380859	4355285
380692	4355479
379821	4355440
380844	4355289
377208	4351228
380919	4355703
380608	4355694
380896	4355139
379811	4355902
380536	4355745
380559	4355750
380613	4355630
380862	4355534
380534	4355940
380529	4355934
380560	4355208
379989	4354296
380254	4355584
380258	4355562
380253	4355464
380761	4355190
380270	4355565
380258	4355567
377103	4350973
380917	4355452
380277	4355580
379999	4355568
379615	4355645
380813	4355579
380819	4355590
380725	4355225
380955	4355344
380841	4355935
380865	4356027
380507	4355130
379800	4355792
380274	4355572
380531	4356366
380323	4355649
380833	4355916
380598	4355740
380878	4355549
380658	4355288
380567	4355747
380334	4356190
380304	4355508
380709	4356013
380811	4355639
380935	4355829
380026	4354537
380127	4355679
380584	4355724
380569	4355746
377076	4350958
380695	4355758
380000	4355324
381014	4355590
380236	4355828
380056	4355513
377245	4350997
380649	4355665
380672	4356004
380680	4355631
380378	4355096
380782	4355281
380790	4355649
377126	4351206
380914	4355441
380531	4355753
381513	4355128
380925	4355517
379712	4355819
377036	4350848
380858	4355394
380805	4356115
380285	4355566
380350	4354879
379752	4354063
380605	4355716
380073	4356055
380540	4355470
380677	4355967
380266	4355585
377047	4350924
380917	4355510
380811	4355650
380125	4355493
380001	4354511
380913	4355671
380487	4356140
380502	4355838
380809	4355826
379588	4355597
380576	4355336
379982	4354443
380715	4355452
380591	4355746
